SEARCH_ENGINE,DOMAIN,CATALOG_NUMBER,TITLE,DESCRIPTION,URL,RANK,IS_SPONSORED
ECOSIA,coxreels.com,1125-6-50-EA,1125 Series | Coxreels,"COXREELS® 1125 Series is the industry preferred motor rewind hose reel and a tried-and-true workhorse for durability & reliability. Featuring a sturdy one piece all welded frame base, low profile riser, and open drum slot design provides a non-crimping, ... 1125-6-50-EA: 1"" 1 7/16"" 50' No: 3000: 81: 29.88""(W) 18.5""(H) 17.63""(L) 25.94""(M) 10""(N) 20.38""(X) 16""(Y) Request CAD File: 1125-6-50-EB: 1"" 1 7/16"" 50' No: 3000: 81: 29.88""(W) 18.5""(H) 17.63""(L) 25.94""(M) 10""(N) 20.38""(X) 16""(Y) Request ...",https://www.coxreels.com/1125-series_8_13.html,2,False
ECOSIA,coxreels.com,1125-6-50-EA,1125 Series | Coxreels Motorized Hose Reels,1125 SERiES:: REEL SPECiFiCatiOnS •External fluid path with machined from solid brass 90° full-flow NPT swivel inlet(Nickel plated steel swivel on 1” models) •Swivel Seals: NITRILE(AFLAS on 1” models) •External fluid path with electroless nickel plated steel 90° full-flow NPT swivel inlet(On high pressure HP prefix models),https://www.coxreels.com/1125-series_8_15.html,3,False
ECOSIA,coxreels.com,1125-6-50-EA,1125 SERiES - Coxreels,Coxreels 1125-6-50-EA hose reel has a 1-7/16' OD hose capacity up to 50 ft. For applications up to 3000 psi. Features an electric 115V AC motor. Hose not included.,http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,4,False
ECOSIA,coxreels.com,1125-6-50-EA,"Coxreels 1125-6-50-EA Hose Reel, 115V Electric, 50 Ft, No Hose","COXREELS® 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece ... EA 115 V AC, 1 ⁄2 HP EXP. EXPLOSION PROOF REVERSIBLE AC RECTIFIED 26 ... 1125-5-50 3⁄4"" 11⁄4"" 50 1⁄2"" 7⁄8"" 100 3⁄4"" F NPT 3,000 HP1125-5-50 4,500 38 6 1125-5-100 3 ...",https://www.productsforautomation.com/coxreels-1125-motor-driven-nohose-1125650ea-p/1125-6-50-ea.htm,5,False
ECOSIA,coxreels.com,1125-6-50-EA,1 / 2 - 1 1125 SERIES HAND CRANK & MOTOR DRIVEN HOSE REELS,115VAC Electric Explosion Proof Motor Rewind Hose Reel:1,https://www.coxreels.com/docs/catalogs/2021-catalogs/catalog-per-page/COXREELS-2021-Catalog-Page44.pdf,6,False
ECOSIA,coxreels.com,1125-6-50-EA,COXREELS® 1125-6-50-EA | Turtle & Hughes,"Product type: Hose Reel, Part #: 1125-6-50-EA, Pack Qty: 1 each",https://www.turtle.com/3047620/Product/coxreels-1125-6-50-ea,7,False
ECOSIA,coxreels.com,1125-6-50-EA,"Coxreels 1125-6-50-EA Hose Reel, 75 ft Capacity, 115V, Electric Drive ...","Find the best pricing for Coxreels 1125-6-50-EA by comparing bulk discounts per 1,000. Octopart is the world’s source for Coxreels 1125-6-50-EA availability, pricing, and technical specs and other electronic parts",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-50-Ft-Hose-Not-Included-75-Ft-Capacity-Electric-Drive-115V-1125-6-50-EA/coxreels_1125_6_50_ea/,8,False
ECOSIA,coxreels.com,1125-6-50-EA,1125-6-50-EA Coxreels - Distributors and Price Comparison - Octopart,"coxreels motorized 1125 series exp-111 revision: eco no.: by: date: k 2944 j. kusbel 7/19/2012 option-ea-eb-ed-e-ef cm-1125-a cm-1125-ea cm-1125-eb cm-1125-ed cm-1125-e cm-1125-ef air (#4 case size) 115vac electric, expl proof(1/2hp) 24vdc elec., expl proof (1/2hp) 12vdc elec., expl proof (1/2hp) 12vdc electric (1/3hp) ... 1125-5-50-x 7456-6 7450 7416 7485 7414-6 7413-6 426 15515 15015 7423 7460-10",https://octopart.com/1125-6-50-ea-coxreels-67155527,9,False
ECOSIA,coxreels.com,1125-6-35-EA,Huge Selection Of Products - +coxreels,Retract Solid steel direct hand crank with smooth round handle. Also available in motorized options. Signature Features Professional grade heavy duty steel construction. Rolled edges & ribbed discs provide strength & safety. Leading 2-year manufacturer's limited warranty. Made in the U.S.A. - Sold & Supported Worldwide.,https://www.bing.com/aclick?ld=e8VVyj4VVjvGW5mvbrIa0DoTVUCUxXLCwB2boyIHZnW0e9aMlZIkdPR6MfxW8G14h7ycFw9jg8dtxhqIw9ZWYQnEV9_668CSPkkS7MLJobpbVckKL4x_G7n-TReasoZVNt8REmhAM0KUVvPerCLAL8a6ab1LvMd9aswr7FlBaDDUz_F8xpF0YuJssRIvbSBKS_f0h5jw&u=aHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmluJTJmcyUyZiUzZmllJTNkVVRGOCUyNmtleXdvcmRzJTNkY294cmVlbHMlMjZpbmRleCUzZGFwcyUyNnRhZyUzZG1zbmRlc2tzdGRpbi0yMSUyNnJlZiUzZHBkX3NsXzV5NnN0MHZkZGhfYiUyNmFkZ3JwaWQlM2QxMzEzOTE4MDAxNDIyNzA1JTI2aHZhZGlkJTNkODIxMjAxNDIzMTUwODglMjZodm5ldHclM2RzJTI2aHZxbXQlM2RwJTI2aHZibXQlM2RiYiUyNmh2ZGV2JTNkYyUyNmh2bG9jaW50JTNkJTI2aHZsb2NwaHklM2QxNTY2MTElMjZodnRhcmdpZCUzZGt3ZC04MjEyMDc1MjQ4MTkxOCUzYWxvYy05MCUyNmh5ZGFkY3IlM2QxNTQxMV8yMzM4Njcw&rlid=db6069bdf07d1c0c54bc0c94c83874d8,1,False
ECOSIA,coxreels.com,1125-6-35-EA,1125 Series | Coxreels,"COXREELS® 1125 Series is the industry preferred motor rewind hose reel and a tried-and-true workhorse for durability & reliability. Featuring a sturdy one piece all welded frame base, low profile riser, and open drum slot design provides a non-crimping,",https://www.coxreels.com/1125-series_8_13.html,2,False
ECOSIA,coxreels.com,1125-6-35-EA,1125 Series | Coxreels Motorized Hose Reels,MOTORIZED HAND CRANK 1125-E Series with optional 4-way roller bracket 1125 Series 1125 SERiES:: REEL SPECiFiCatiOnS •External fluid path with machined from solid brass 90° full-flow NPT swivel inlet(Nickel plated steel swivel on 1” models) •Swivel Seals: NITRILE(AFLAS on 1” models),https://www.coxreels.com/1125-series_8_15.html,3,False
ECOSIA,coxreels.com,1125-6-35-EA,1125 SERiES - Coxreels,"Coxreels® 1125 Series motorized hose reels meet industry professional’s demands. Features such as, a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap, making it the industry’s preferred design. Click to view Motor Options Call us TODAY at 727-835-0673 or",http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,4,False
ECOSIA,coxreels.com,1125-6-35-EA,Coxreels 1125 Series | Coxreels Hose Reels,"COXREELS® 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded “A” frame base, low profile outlet riser and open drum slot design provides a ... EA 115 V AC, 1 ⁄2 HP EXP. EXPLOSION PROOF REVERSIBLE AC RECTIFIED 26 ... 1125-6-35 1"" 17 ...",https://www.coxreelsales.com/motorized-1125Series.php,5,False
ECOSIA,coxreels.com,1125-6-35-EA,1 / 2 - 1 1125 SERIES HAND CRANK & MOTOR DRIVEN HOSE REELS,"Select ""STAY CONNECTED"" to extend your session. LOG OUT NOW STAY CONNECTED ...",https://www.coxreels.com/docs/catalogs/2021-catalogs/catalog-per-page/COXREELS-2021-Catalog-Page44.pdf,6,False
ECOSIA,coxreels.com,1125-6-35-EA,1125-6-35-EA - COXREELS | Hose Flexible Tubing And Assemblies - BDI,"Product type: Hose Reel, Part #: 1125-6-35-EA, Pack Qty: 1 each",https://www.bdiexpress.com/us/en/Fluid-Power/Hose-Flexible-Tubing-And-Assemblies/1125-6-35-EA/p/24755529,7,False
ECOSIA,coxreels.com,1125-6-35-EA,"Coxreels 1125-6-35-EA Hose Reel, 50 ft Capacity, 115V, Electric Drive ...","COXREELS 1125-6-35-EA - Electric 115V Explosion Proof 1/2HP Motor Rewind Hose Reel: 1"" I.D., 35' hose capacity, less hose, 3000 PSI. Coxreels are now BTO (Built to Order) and have a 2-3 week lead time. WARNING: This product can expose you to chemicals including Nickel, which are known to the State of California to cause cancer, and chemicals including Chromium, which are known to the State of California to cause birth defects or other reproductive harm. For more information go to www ...",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-35-Ft-Hose-Not-Included-50-Ft-Capacity-Electric-Drive-115V-1125-6-35-EA/coxreels_1125_6_35_ea/,8,False
ECOSIA,coxreels.com,1125-6-35-EA,COXREELS 1125-6-35-EA - Electric 115V Explosion Proof 1/2HP Motor ...,"coxreels motorized 1125 series exp-111 revision: eco no.: by: date: k 2944 j. kusbel 7/19/2012 option-ea-eb-ed-e-ef cm-1125-a cm-1125-ea cm-1125-eb cm-1125-ed cm-1125-e cm-1125-ef air (#4 case size) 115vac electric, expl proof(1/2hp) 24vdc elec., expl proof (1/2hp) 12vdc elec., expl proof (1/2hp) ... 1125-6-35-x 7456-9.5 7526 7500 8930 7501-9.5 7504-9.5 15257-1 7507 15012 7509 7460-16",https://www.royalsupply.com/store/pc/COXREELS-1125-6-35-EA-Electric-115V-Explosion-Proof-1-2HP-Motor-Rewind-Hose-Reel-p89832.htm,9,False
ECOSIA,coxreels.com,1125-5-250-EA,Great Prices on Coxreels - Coxreels,"COXREELS® 1125 Series is the industry preferred motor rewind hose reel and a tried-and-true workhorse for durability & reliability. Featuring a sturdy one piece all welded frame base, low profile riser, and open drum slot design provides a non-crimping, ... 1125-5-250-EA: 3/4"" 1 1/4"" 250' No: 3000: 85: 42""(W) 19.25""(H) 17.63""(L) 31.44""(M) 10""(N) 33.38""(X) 16""(Y) Request CAD File: 1125-5-250-EB: 3/4"" 1 1/4"" 250' No: 3000: 85: 42""(W) 19.25""(H) 17.63""(L) 31.44""(M) 10""(N) 33.38""(X) 16""(Y ...",https://www.bing.com/aclick?ld=e8FvogoPLhdr8PxULe64z3PDVUCUxBzvav1C8GjlEkEBpHHZWDwLBdl5CY7EGehxEeOvkk_y_jgoCD2jGH54dwfKdN1XWzafNa_DP9vQiVIVnH-RakkcZyYFKHrk1i-5b_PRjTmJZEd5PTONAjSX7rDhw4KxBL2Z4rywxTpr6TuiemDpkM53tmoPlSaXMN1v38ZQ-Xew&u=aHR0cHMlM2ElMmYlMmZ3d3cuZWJheS5jb20lMmZzY2glMmZpLmh0bWwlM2Zfbmt3JTNkY294cmVlbHMlMjZub3JvdmVyJTNkMSUyNm1rZXZ0JTNkMSUyNm1rcmlkJTNkNzExLTM0MDAyLTEzMDc4LTAlMjZta2NpZCUzZDIlMjZta3NjaWQlM2QxMDIlMjZrZXl3b3JkJTNkY294cmVlbHMlMjZjcmxwJTNkXzItMTMwMC0wLTEtMSUyNk1UX0lEJTNkJTI2Z2VvX2lkJTNkJTI2cmxzYXRhcmdldCUzZGt3ZC03NzI0MDgyNTEzNDU4OSUzYWxvYy05MCUyNmFkcG9zJTNkJTI2ZGV2aWNlJTNkYyUyNm1rdHlwZSUzZCUyNmxvYyUzZDE1NzM1MCUyNnBvaSUzZCUyNmFiY0lkJTNkJTI2Y21wZ24lM2QzMjk4NTE4ODIlMjZzaXRlbG5rJTNkJTI2YWRncm91cGlkJTNkMTIzNTg1MTIyMTQxNzQ2NiUyNm5ldHdvcmslM2RzJTI2bWF0Y2h0eXBlJTNkcCUyNm1zY2xraWQlM2RjYzVlZTljMzFlMWMxMGMzNjNhMThjZWEyNjViYzBhZA&rlid=cc5ee9c31e1c10c363a18cea265bc0ad,1,False
ECOSIA,coxreels.com,1125-5-250-EA,Huge Selection Of Products - +coxreels,"COXREELS - 1125-5-250-EA-BYXX COXREELS® Storage hand crank and motorized reels have the featuresdemanded by industry professionals. These features include a CNC robotically heavy duty spun and ribbed discs with rolled edges for added strength, safety and durability and a sturdy all-welded ""A"" frame built to efficiently handle the most demanding storage tasks on either stationary or mobile units.",https://www.bing.com/aclick?ld=e84ek_QhJGJUD8l2ui2bQc9TVUCUyOs0qxaXS_9GQPalIjYIexbkl62g2oi8LrGrXpkfx7Snn1rhEscOyfkWoEe-J_bI-cxNo6L_pK5FXGBaXNfXbrn3Vf8E4w82pMiOLhxc1Lzy_xMCetWZd6f6XfjtiRztnmcoNMBBrl5TY9Jk2ExSnLlv4NvyuQ2g-J9ZGzocnHow&u=aHR0cHMlM2ElMmYlMmZ3d3cuYW1hem9uLmluJTJmcyUyZiUzZmllJTNkVVRGOCUyNmtleXdvcmRzJTNkY294cmVlbHMlMjZpbmRleCUzZGFwcyUyNnRhZyUzZG1zbmRlc2tzdGRpbi0yMSUyNnJlZiUzZHBkX3NsXzV5NnN0MHZkZGhfYiUyNmFkZ3JwaWQlM2QxMzEzOTE4MDAxNDIyNzA1JTI2aHZhZGlkJTNkODIxMjAxNDIzMTUwODglMjZodm5ldHclM2RzJTI2aHZxbXQlM2RwJTI2aHZibXQlM2RiYiUyNmh2ZGV2JTNkYyUyNmh2bG9jaW50JTNkJTI2aHZsb2NwaHklM2QxNTczNTAlMjZodnRhcmdpZCUzZGt3ZC04MjEyMDc1MjQ4MTkxOCUzYWxvYy05MCUyNmh5ZGFkY3IlM2QxNTQxMV8yMzM4Njcw&rlid=76d82c42387011b6e8b2496b00373ed9,2,False
ECOSIA,coxreels.com,1125-5-250-EA,1125 Series | Coxreels Motorized Hose Reels,"Description High Pressure 1125 Series hand crank and motorized hose reels have the features demanded by industry professionals. The industry preferred design features a sturdy one piece all welded ""A"" frame base, low profile outlet riser and open drum slot design provides a non-crimping, flat smooth hose wrap. Features:",https://www.coxreels.com/1125-series_8_15.html,3,False
ECOSIA,coxreels.com,1125-5-250-EA,COXREELS 1125-5-250-EA-BYXX - ROYAL SUPPLY,"Hose. Manufacturer URL. https://www.coxreels.com. Weight / LBS. 67. Product Detail. Hose Reel. Product Specification. Motor Rewind; Steel Reel Material; A Shaped Frame Mount; Without Hose; 250FT Hose Length; 3/4"" Hose Inside Diameter; 1 1/4"" Hose Outside Diameter; 3/4"" FNPT Reel Inlet; 3/4"" MNPT Hose End; 3000 PSI Maximum Pressure Rating.",https://www.royalsupply.com/store/pc/COXREELS-1125-5-250-EA-BYXX-Electric-115V-Explosion-Proof-1-2HP-Motor-Rewind-Storage-Hose-Reel-p91198.htm,4,False
ECOSIA,coxreels.com,1125-5-250-EA,Coxreels HP1125-5-250-EA High Pressure 1125 Series Motorized Hose Reel ...,1125-E Series with optional 4-way roller bracket 1125 Series 1125 SERiES:: REEL SPECiFiCatiOnS •External fluid path with machined from solid brass 90° full-flow NPT swivel inlet(Nickel plated steel swivel on 1” models) •Swivel Seals: NITRILE(AFLAS on 1” models),https://www.industrialproducts.com/coxreels-hp1125-5-250-ea-high-pressure-1125-series-motorized-hose-reel-for-3-4-inch-x-250-foot-hoses-with-115v-ac-1-2-hp-exp-reversible-ac-rectified.html,5,False
ECOSIA,coxreels.com,1125-5-250-EA,1125-5-250-A - COXREELS | Hose Flexible Tubing And Assemblies - BDI,"Coxreels 1125-5-250-EA Electric 115V Explosion Proof 1/2HP Motor Rewind Hose Reel: 3/4"" I.D., 250' Hose Capacity, Less Hose, 3000 PSI : Amazon.ca: Automotive",https://www.bdiexpress.com/us/en/Fluid-Power/Hose-Flexible-Tubing-And-Assemblies/1125-5-250-A/p/24755477,6,False
ECOSIA,coxreels.com,1125-5-250-EA,1125 SERiES - Coxreels,"Find the best pricing for Coxreels 1125-5-250-EA by comparing bulk discounts starting at $981.055 at 1,000. Octopart is the world’s source for Coxreels 1125-5-250-EA availability, pricing, and technical specs and other electronic parts Categories APIBOM ToolFAQOctopart for Business Sign In Coxreels 1125-5-250-EA",http://www.coxreels.com/docs/catalogs/main/coxreels_catalog_2012_40_1125_series.pdf,7,False
ECOSIA,coxreels.com,1125-5-250-EA,Coxreels 1125-5-250-EA Electric 115V Explosion Proof 1/2HP Motor Rewind ...,"Product type: Hose Reel, Part #: 1125-5-250-EA, Pack Qty: 1 each",https://www.amazon.ca/Coxreels-1125-5-250-EA-Electric-Explosion-Rewind/dp/B005SMW98Q,8,False
ECOSIA,coxreels.com,1125-5-250-EA,1125-5-250-EA Coxreels - Distributors and Price Comparison - Octopart,"Product Overview Multi-purpose design accommodates (1) 250' air, water, or oil hose (sold separately) Features lubricated pillow block bearings and a solid steel hand crank for a long life and high performance Designed with a low profile outlet riser and open drum slot, keeping the hose flat and smooth around the reel",https://octopart.com/1125-5-250-ea-coxreels-67155502,9,False
ECOSIA,coxreels.com,1125-5-250-EA,"Coxreels 1125-5-250-EA Hose Reel, 500 ft Capacity, 115V, Electric Drive ...","The Coxreels 1125-5-250-EA Electric 115V 1/2HP Motor Rewind Hose Reel is a rugged and dependable tool designed to effectively manage hoses in various applications. This hand crank reel is specifically engineered to provide reliable hose storage and easy deployment, making it a versatile choice for industrial, commercial, and agricultural settings.",https://www.rshughes.com/p/Coxreels-1125-Series-Hose-Reel-250-Ft-Hose-Not-Included-500-Ft-Capacity-Electric-Drive-115V-1125-5-250-EA/coxreels_1125_5_250_ea/,10,False
